"country","region","happiness_score","gdp_per_capita","social_support","life_expectancy","freedom","generosity"
"Mongolia","Asia",4.874,0.8282,1.3006,0.6027,0.4363,0.3323
"Swaziland","Africa & Middle East",4.867,0.7121,1.0728,0.0757,0.3066,0.1826
"Greece","Europe",4.857,1.1541,0.9293,0.8821,0.077,0
"Lebanon","Africa & Middle East",4.839,1.0256,0.8,0.8395,0.3392,0.2185
"Hungary","Europe",4.8,1.1209,1.2022,0.759,0.3211,0.128
"Honduras","Americas",4.788,0.5953,0.9535,0.6951,0.4015,0.2303
"Tajikistan","Europe",4.786,0.3905,0.8556,0.5738,0.4722,0.2297
"Tunisia","Africa & Middle East",4.739,0.8811,0.6043,0.7379,0.2627,0.0643
"Palestinian Territories","Africa & Middle East",4.715,0.5987,0.9256,0.6602,0.245,0.1125
"Bangladesh","Asia",4.694,0.3975,0.4311,0.6016,0.4082,0.2122
"Iran","Africa & Middle East",4.686,1.0088,0.5445,0.698,0.3003,0.3809
"Ukraine","Europe",4.681,0.7991,1.2028,0.6739,0.2512,0.1528
"Iraq","Africa & Middle East",4.677,0.9855,0.8189,0.6024,0,0.1792
"South Africa","Africa & Middle East",4.642,0.9205,1.1847,0.2769,0.3321,0.1197
"Ghana","Africa & Middle East",4.633,0.5456,0.6795,0.4013,0.4234,0.2309
"Zimbabwe","Africa & Middle East",4.61,0.271,1.0328,0.3348,0.2586,0.1899
"Liberia","Africa & Middle East",4.571,0.0712,0.7897,0.342,0.2853,0.2436
"India","Asia",4.565,0.645,0.3817,0.5153,0.3979,0.2648
"Sudan","Africa & Middle East",4.55,0.5211,1.014,0.3688,0.1008,0.1906
"Haiti","Americas",4.518,0.2667,0.743,0.3885,0.2442,0.4619
"Congo (Kinshasa)","Africa & Middle East",4.517,0,1.0012,0.0981,0.226,0.2483
"Nepal","Asia",4.514,0.36,0.8645,0.5687,0.3828,0.323
"Ethiopia","Africa & Middle East",4.512,0.1907,0.6041,0.4406,0.4345,0.2432
"Sierra Leone","Africa & Middle East",4.507,0.3302,0.9557,0,0.4084,0.2149
"Mauritania","Africa & Middle East",4.436,0.4541,0.8691,0.3587,0.2423,0.219
"Kenya","Africa & Middle East",4.419,0.3647,0.9988,0.4144,0.4222,0.3754
"Djibouti","Africa & Middle East",4.369,0.4402,0.5921,0.3629,0.4607,0.1809
"Armenia","Europe",4.35,0.7682,0.7771,0.7299,0.1985,0.0785
"Botswana","Africa & Middle East",4.332,0.9936,1.1046,0.0478,0.495,0.1046
"Myanmar","Asia",4.307,0.2711,0.709,0.4825,0.4402,0.7959
"Georgia","Europe",4.297,0.7419,0.3856,0.7293,0.4058,0.0555
"Malawi","Africa & Middle East",4.292,0.016,0.4113,0.2256,0.4305,0.3313
"Sri Lanka","Asia",4.271,0.8352,1.0191,0.7081,0.5373,0.4083
"Cameroon","Africa & Middle East",4.252,0.4225,0.8877,0.234,0.4931,0.2062
"Bulgaria","Europe",4.218,1.0122,1.1061,0.7665,0.3059,0.1192
"Egypt","Africa & Middle East",4.194,0.8818,0.747,0.6171,0.1729,0.1129
"Yemen","Africa & Middle East",4.077,0.5465,0.6809,0.4006,0.3557,0.0913
"Angola","Africa & Middle East",4.033,0.7578,0.8604,0.1668,0.1038,0.1234
"Mali","Africa & Middle East",3.995,0.2607,1.0353,0.2058,0.3886,0.188
"Congo (Brazzaville)","Africa & Middle East",3.989,0.6787,0.6629,0.3105,0.4147,0.1239
"Comoros","Africa & Middle East",3.956,0.2391,0.7927,0.3631,0.2292,0.1744
"Uganda","Africa & Middle East",3.931,0.211,1.133,0.3386,0.4573,0.2907
"Senegal","Africa & Middle East",3.904,0.365,0.9762,0.4354,0.3677,0.2084
"Gabon","Africa & Middle East",3.896,1.0602,0.9053,0.4337,0.3191,0.0682
"Niger","Africa & Middle East",3.845,0.0694,0.7726,0.2971,0.4769,0.1939
"Cambodia","Asia",3.819,0.4604,0.6274,0.6111,0.6625,0.4036
"Tanzania","Africa & Middle East",3.781,0.2852,1.0027,0.3822,0.3288,0.3438
"Madagascar","Africa & Middle East",3.681,0.2082,0.668,0.4672,0.1918,0.2133
"Central African Republic","Africa & Middle East",3.678,0.0785,0,0.067,0.4888,0.2384
"Chad","Africa & Middle East",3.667,0.3419,0.7606,0.1501,0.235,0.1839
"Guinea","Africa & Middle East",3.656,0.1742,0.4648,0.2401,0.3772,0.2866
"Ivory Coast","Africa & Middle East",3.655,0.4653,0.7712,0.1519,0.4687,0.2016
"Burkina Faso","Africa & Middle East",3.587,0.2581,0.8519,0.2712,0.3949,0.2175
"Afghanistan","Asia",3.575,0.3198,0.3028,0.3034,0.2341,0.3651
"Rwanda","Africa & Middle East",3.465,0.2221,0.7737,0.4286,0.592,0.2263
"Benin","Africa & Middle East",3.34,0.2866,0.3539,0.3191,0.4845,0.1826
"Syria","Africa & Middle East",3.006,0.6632,0.4749,0.7219,0.1568,0.4718
"Burundi","Africa & Middle East",2.905,0.0153,0.4159,0.224,0.1185,0.1973
"Togo","Africa & Middle East",2.839,0.2087,0.1399,0.2844,0.3645,0.1668
