"name","age","age_group","nationality","club","position","overall","potential","value_million_eur","wage_thousand_eur","reputation"
"J. Guidetti",26,"26-29","Sweden","Deportivo Alavés","Forward",78,81,13,29,"2-star"
"J. Quintero",25,"22-25","Colombia","River Plate","Midfielder",78,80,12.5,15,"2-star"
"Z. Junuzović",30,"30+","Austria","FC Red Bull Salzburg","Midfielder",78,78,9.5,39,"2-star"
"A. Poli",28,"26-29","Italy","Bologna","Midfielder",77,77,9,34,"2-star"
"Vinícius Júnior",17,"21 or under","Brazil","Real Madrid","Forward",77,92,17.5,66,"1-star"
"B. Bourigeaud",24,"22-25","France","Stade Rennais FC","Midfielder",77,81,11.5,28,"1-star"
"Wendell",24,"22-25","Brazil","Bayer 04 Leverkusen","Defender",77,80,9.5,43,"2-star"
"Danilo",34,"30+","Brazil","Bologna","Defender",77,77,2.7,26,"2-star"
"José Sá",25,"22-25","Portugal","Olympiacos CFP","Goalkeeper",77,82,8.5,1,"1-star"
"M. Vorm",34,"30+","Netherlands","Tottenham Hotspur","Goalkeeper",77,77,3.6,56,"2-star"
"K. Lasagna",25,"22-25","Italy","Udinese","Forward",77,80,11.5,29,"2-star"
"C. Villanueva",32,"30+","Chile","Al Ittihad","Midfielder",77,77,7,39,"1-star"
"N. Mukiele",20,"21 or under","France","RB Leipzig","Defender",77,86,12,30,"1-star"
"D. van de Beek",21,"21 or under","Netherlands","Ajax","Midfielder",77,83,12.5,14,"2-star"
"A. Schwolow",26,"26-29","Germany","SC Freiburg","Goalkeeper",77,78,7,19,"1-star"
"E. Ünal",21,"21 or under","Turkey","Real Valladolid CF","Forward",77,83,12.5,26,"1-star"
"M. Lowton",29,"26-29","England","Burnley","Defender",77,77,6.5,50,"1-star"
"M. Niang",23,"22-25","Senegal","Stade Rennais FC","Forward",76,81,10.5,37,"2-star"
"A. Umar",23,"22-25","Nigeria","Çaykur Rizespor","Midfielder",76,81,10.5,13,"1-star"
"Beto",36,"30+","Portugal","Göztepe SK","Goalkeeper",76,76,1,12,"2-star"
"P. Baysse",30,"30+","France","Stade Malherbe Caen","Defender",76,76,5.5,34,"1-star"
"Y. Kobayashi",30,"30+","Japan","Kawasaki Frontale","Forward",76,76,7.5,12,"1-star"
"Vicente Gómez",29,"26-29","Spain","Deportivo de La Coruña","Midfielder",76,76,7.5,12,"1-star"
"J. Gnagnon",21,"21 or under","France","Sevilla FC","Defender",76,83,9.5,11,"1-star"
"S. Ristovski",26,"26-29","FYR Macedonia","Sporting CP","Defender",76,77,7.5,12,"1-star"
"De Tomás",23,"22-25","Spain","Rayo Vallecano","Forward",76,83,11,105,"1-star"
"E. Cabaco",23,"22-25","Uruguay","Levante UD","Defender",75,81,8,17,"1-star"
"L. Rigoni",33,"30+","Italy","Parma","Midfielder",75,75,3.9,37,"2-star"
"M. Rog",22,"22-25","Croatia","Napoli","Midfielder",75,81,9,43,"2-star"
"M. Zeegelaar",27,"26-29","Netherlands","Watford","Defender",75,75,5.5,42,"1-star"
"G. Shoji",25,"22-25","Japan","Kashima Antlers","Defender",75,80,7.5,11,"1-star"
"Francis",22,"22-25","Spain","Real Betis","Midfielder",75,80,9,19,"1-star"
"Bojan",27,"26-29","Spain","Stoke City","Midfielder",75,75,7,40,"2-star"
"O. Duarte",29,"26-29","Costa Rica","RCD Espanyol","Defender",75,75,5,24,"1-star"
"S. Armstrong",26,"26-29","Scotland","Southampton","Midfielder",75,77,8,42,"1-star"
"M. Jojić",26,"26-29","Serbia","Medipol Başakşehir FK","Midfielder",74,76,6.5,22,"2-star"
"M. Diop",30,"30+","Senegal","Beijing Renhe FC","Forward",74,74,5.5,15,"1-star"
"Crespo",31,"30+","Spain","PAOK","Defender",74,74,3.8,1,"1-star"
"W. Tesillo",28,"26-29","Colombia","Club León","Defender",74,74,4.6,24,"1-star"
"B. Ecuélé Manga",29,"26-29","Gabon","Cardiff City","Defender",74,74,4.4,37,"1-star"
"M. Vydra",26,"26-29","Czech Republic","Burnley","Midfielder",74,76,7,43,"1-star"
"D. Sakho",28,"26-29","Senegal","Bursaspor","Forward",74,74,6,30,"1-star"
"F. Mussis",26,"26-29","Argentina","San Lorenzo de Almagro","Midfielder",74,75,5.5,17,"1-star"
"P. Mpoku",26,"26-29","DR Congo","Standard de Liège","Midfielder",74,74,6,15,"1-star"
"N. Maksimović",23,"22-25","Serbia","Getafe CF","Midfielder",74,81,8,17,"1-star"
"R. Fanni",36,"30+","France","Montreal Impact","Defender",74,74,0.75,5,"2-star"
"S. Kalu",20,"21 or under","Nigeria","FC Girondins de Bordeaux","Forward",74,85,9.5,25,"1-star"
"B. Poulain",30,"30+","France","Club Brugge KV","Defender",74,74,4.2,18,"1-star"
"Diogo Figueiras",27,"26-29","Portugal","SC Braga","Defender",74,75,5,12,"1-star"
"A. Mariappa",31,"30+","Jamaica","Watford","Defender",74,74,3.8,39,"1-star"
"Samu Saiz",27,"26-29","Spain","Leeds United","Midfielder",74,75,6.5,37,"1-star"
"K. Piątek",23,"22-25","Poland","Genoa","Forward",74,80,8,15,"1-star"
"Marlon Nideiro",34,"30+","Brazil","Grêmio","Midfielder",74,74,2.8,25,"1-star"
"F. Đuričić",26,"26-29","Serbia","Sassuolo","Midfielder",74,76,7,40,"1-star"
"A. Chávez",27,"26-29","Argentina","Club Atlético Huracán","Forward",74,75,6.5,17,"1-star"
"E. Room",29,"26-29","Curacao","PSV","Goalkeeper",74,75,4.4,11,"1-star"
"A. Boruc",38,"30+","Poland","Bournemouth","Goalkeeper",74,74,0.375,24,"2-star"
"M. Grujić",22,"22-25","Serbia","Hertha BSC","Midfielder",73,84,6,51,"1-star"
"L. Mazzitelli",22,"22-25","Italy","Genoa","Midfielder",73,78,5.5,32,"1-star"
"F. Tobio",28,"26-29","Argentina","Deportivo Toluca","Defender",73,74,3.6,19,"1-star"
"H. Harbaoui",33,"30+","Tunisia","SV Zulte-Waregem","Forward",73,73,2.5,15,"1-star"
"R. Lod",25,"22-25","Finland","Real Sporting de Gijón","Midfielder",73,77,5,9,"1-star"
"Diego Oliveira",28,"26-29","Brazil","FC Tokyo","Forward",73,73,4.1,11,"1-star"
"A. Smithies",28,"26-29","England","Cardiff City","Goalkeeper",73,75,3.3,28,"1-star"
"S. Schrijvers",21,"21 or under","Belgium","Club Brugge KV","Forward",73,79,5.5,15,"1-star"
"K. Wilczek",30,"30+","Poland","Brøndby IF","Forward",73,73,3.9,24,"1-star"
"J. Al Hussien",35,"30+","Syria","Al Taawoun","Midfielder",73,73,1.8,13,"1-star"
"E. Johansson",29,"26-29","Sweden","Djurgårdens IF","Defender",73,73,3.1,6,"1-star"
"R. Krunić",24,"22-25","Bosnia Herzegovina","Empoli","Midfielder",73,78,5.5,11,"1-star"
"S. Araujo",26,"26-29","Argentina","UD Las Palmas","Forward",73,76,5,11,"1-star"
"J. McGinn",23,"22-25","Scotland","Aston Villa","Midfielder",73,78,5.5,15,"1-star"
"M. Urruti",27,"26-29","Argentina","FC Dallas","Midfielder",73,74,4.7,8,"1-star"
"Ferrán Torres",18,"21 or under","Spain","Valencia CF","Midfielder",73,86,7,12,"1-star"
"Gus Outomouro",34,"30+","Brazil","Internacional","Forward",73,73,2.1,23,"1-star"
"C. Falletti",25,"22-25","Uruguay","Palermo","Forward",72,75,3.9,21,"1-star"
"Josué Sá",26,"26-29","Portugal","Kasimpaşa SK","Defender",72,76,3.3,13,"1-star"
"E. Ponce",21,"21 or under","Argentina","AEK Athens","Forward",72,80,4.7,1,"1-star"
"A. Fransson",24,"22-25","Sweden","IFK Norrköping","Midfielder",72,77,4.1,5,"1-star"
"C. Mavinga",27,"26-29","DR Congo","Toronto FC","Defender",72,73,2.9,6,"1-star"
"R. Lamah",30,"30+","Belgium","FC Dallas","Midfielder",72,72,2.9,7,"1-star"
"Vesga",25,"22-25","Spain","CD Leganés","Midfielder",72,77,3.5,14,"1-star"
"Jorge Carvallinho",34,"30+","Brazil","Botafogo","Defender",72,72,0.95,15,"1-star"
"S. Adegbenro",22,"22-25","Nigeria","Rosenborg BK","Forward",72,80,4.6,6,"1-star"
"P. Gallese",28,"26-29","Peru","Tiburones Rojos de Veracruz","Goalkeeper",72,73,2.5,5,"1-star"
"V. Jovanović",22,"22-25","Serbia","FC Girondins de Bordeaux","Defender",72,78,3.6,21,"1-star"
"A. Çalık",24,"22-25","Turkey","Galatasaray SK","Defender",72,77,3.5,28,"1-star"
"F. Ceravolo",31,"30+","Italy","Parma","Forward",72,72,2.8,30,"1-star"
"J. Carrizo",34,"30+","Argentina","Monterrey","Goalkeeper",72,72,1.3,22,"2-star"
"R. Vargas",31,"30+","Venezuela","Newcastle Jets","Midfielder",72,72,2.7,4,"2-star"
"D. Siovas",29,"26-29","Greece","CD Leganés","Defender",72,72,2.4,19,"2-star"
"T. Carroll",26,"26-29","England","Swansea City","Midfielder",72,74,3.7,21,"1-star"
"S. van de Streek",25,"22-25","Netherlands","FC Utrecht","Midfielder",72,74,3.8,13,"1-star"
"L. Olaza",23,"22-25","Uruguay","Boca Juniors","Defender",72,78,3.6,10,"1-star"
"S. Viera",35,"30+","Uruguay","Junior FC","Goalkeeper",72,72,0.725,2,"1-star"
"V. Găman",29,"26-29","Romania","Al Shabab","Defender",72,72,2.4,22,"1-star"
"C. Mulgrew",32,"30+","Scotland","Blackburn Rovers","Defender",72,72,1.8,27,"1-star"
"D. Bouanga",23,"22-25","Gabon","Nîmes Olympique","Midfielder",72,77,4.2,12,"1-star"
"Josué da Feira",26,"26-29","Brazil","Vitória","Forward",72,72,3.4,11,"1-star"
"R. Koch",21,"21 or under","Germany","SC Freiburg","Midfielder",72,80,4,11,"1-star"
"Aleñá",20,"21 or under","Spain","FC Barcelona","Midfielder",72,85,6,58,"1-star"
"D. Villalpando",26,"26-29","Mexico","Club Necaxa","Midfielder",72,73,3.6,10,"1-star"
"B. Sako",30,"30+","Mali","West Bromwich Albion","Midfielder",71,71,2.2,21,"1-star"
"M. Pugh",31,"30+","England","Bournemouth","Midfielder",71,71,2.1,35,"1-star"
"C. Paterson",23,"22-25","Scotland","Cardiff City","Defender",71,77,3.2,24,"1-star"
"F. Chalov",20,"21 or under","Russia","PFC CSKA Moscow","Forward",71,83,4.3,1,"1-star"
"Verza",31,"30+","Spain","CF Rayo Majadahonda","Midfielder",71,71,1.6,5,"1-star"
"Edgar Costa",31,"30+","Portugal","Clube Sport Marítimo","Midfielder",71,71,2.1,7,"1-star"
"I. Sacko",20,"21 or under","France","OGC Nice","Forward",71,81,3.9,16,"1-star"
"Lisandro Semedo",22,"22-25","Portugal","Fortuna Sittard","Forward",71,77,3.2,6,"1-star"
"O. Omoijuanfo",24,"22-25","Norway","Stabæk Fotball","Forward",71,78,3.4,3,"1-star"
"O. Fink",36,"30+","Germany","Fortuna Düsseldorf","Midfielder",71,71,0.75,14,"1-star"
"Sergio Herrera",25,"22-25","Spain","CA Osasuna","Goalkeeper",71,73,2,5,"1-star"
"M. Rodriguez",27,"26-29","Uruguay","San Luis de Quillota","Midfielder",71,71,2.5,3,"1-star"
"G. Achilier",33,"30+","Ecuador","Monarcas Morelia","Defender",71,71,0.95,7,"1-star"
"S. Privat",28,"26-29","France","Valenciennes FC","Forward",71,71,2.4,6,"1-star"
"G. Alcoba",33,"30+","Uruguay","Santos Laguna","Defender",71,71,0.95,13,"1-star"
"I. Bennacer",20,"21 or under","Algeria","Empoli","Midfielder",71,82,4,7,"1-star"
"J. Garner",30,"30+","England","Wigan Athletic","Forward",71,71,2.3,35,"1-star"
"Álvaro Lemos",25,"22-25","Spain","UD Las Palmas","Defender",71,74,2.4,7,"1-star"
"L. Antei",26,"26-29","Italy","Benevento","Defender",71,74,2.5,4,"1-star"
"Hélder Barbosa",31,"30+","Portugal","Akhisar Belediyespor","Midfielder",71,71,2.1,13,"1-star"
"Bruno Nascimento",27,"26-29","Brazil","CD Feirense","Defender",70,72,1.7,7,"1-star"
"S. Doi",26,"26-29","Japan","Kashima Antlers","Forward",70,71,2.1,8,"1-star"
"Luís Machado",25,"22-25","Portugal","CD Feirense","Midfielder",70,71,2.1,7,"1-star"
"L. Jutkiewicz",29,"26-29","England","Birmingham City","Forward",70,70,1.8,18,"1-star"
"L. Tremolada",26,"26-29","Italy","Brescia","Midfielder",70,71,2.1,3,"1-star"
"Cotán",22,"22-25","Spain","Real Valladolid CF","Midfielder",70,78,2.3,9,"1-star"
"A. Aguerre",27,"26-29","Argentina","Newell's Old Boys","Goalkeeper",70,73,1.5,8,"1-star"
"Pichu Atienza",28,"26-29","Spain","CD Numancia","Defender",70,72,1.7,6,"1-star"
"Rodrigo",25,"22-25","Brazil","CD Aves","Defender",70,74,1.9,6,"1-star"
"Edson Farias",26,"26-29","Brazil","CD Feirense","Defender",70,71,2.1,7,"1-star"
"M. Gakpa",24,"22-25","France","FC Metz","Midfielder",70,73,2.3,4,"1-star"
"J. Benítez",26,"26-29","Argentina","CD Universidad de Concepción","Forward",70,70,1.9,3,"1-star"
"Marc Cardona",22,"22-25","Spain","SD Eibar","Forward",70,79,2.8,57,"1-star"
"C. Maxwell",27,"26-29","Wales","Preston North End","Goalkeeper",70,73,1.5,7,"1-star"
"M. Silva",29,"26-29","Uruguay","Real Salt Lake","Defender",70,70,1.4,5,"1-star"
"L. Figueroa",35,"30+","Chile","CD Universidad de Concepción","Midfielder",70,70,0.775,2,"1-star"
"S. Kitsiou",24,"22-25","Greece","PAOK","Defender",70,74,1.9,1,"1-star"
"A. Ábalos",32,"30+","Argentina","Club Deportes Temuco","Midfielder",70,70,1.4,2,"1-star"
"U. Uçar",31,"30+","Turkey","Medipol Başakşehir FK","Defender",70,70,1.2,12,"1-star"
"M. Volta",31,"30+","Italy","Benevento","Defender",70,70,1.2,3,"1-star"
"S. Lundevall",29,"26-29","Sweden","IF Elfsborg","Midfielder",70,70,1.7,4,"1-star"
"D. Schmidt",31,"30+","Germany","Holstein Kiel","Defender",70,70,1.2,7,"1-star"
"M. Gori",25,"22-25","Italy","Frosinone","Midfielder",70,72,2.1,9,"1-star"
"P. Helland",28,"26-29","Norway","Rosenborg BK","Forward",70,70,1.8,5,"1-star"
"Sevinho Santos",30,"30+","Brazil","Cruzeiro","Forward",70,70,1.7,17,"1-star"
"F. Acuña",30,"30+","Mexico","Puebla FC","Midfielder",70,70,1.7,5,"1-star"
"D. Ousted",33,"30+","Denmark","DC United","Goalkeeper",70,70,0.9,4,"1-star"
"A. Bastía",39,"30+","Argentina","Club Atlético Colón","Midfielder",70,70,0.12,5,"1-star"
"C. Espinoza",23,"22-25","Argentina","Boca Juniors","Forward",70,77,2.5,15,"1-star"
"D. Sow",21,"21 or under","Switzerland","BSC Young Boys","Midfielder",70,82,3.1,9,"1-star"
