"title","genre","budget_million","worldwide_gross_million","imdb_rating","rotten_tomatoes","running_time_min","mpaa_rating"
"The Mexican","Action",40,147.81,5.9,55,124,"R"
"Lost In Space","Adventure",80,136.12,4.8,26,131,"PG-13"
"The School of Rock","Comedy",20,131.16,7.2,NA,108,"PG-13"
"Rambo","Action",47.5,116.75,7.3,NA,NA,"R"
"Judge Dredd","Action",85,113.49,4.9,15,NA,"R"
"Dear John","Drama",25,112.01,7,28,NA,"PG-13"
"Arthur et les Minimoys","Adventure",80,110.1,5.9,NA,122,"PG"
"Hoodwinked","Comedy",17.5,110.01,6.7,NA,80,"PG"
"The Amityville Horror","Horror",18.5,108.05,5.8,24,89,"R"
"The Stepford Wives","Comedy",100,96.22,5.1,26,93,"PG-13"
"The River Wild","Action",45,94.22,6.2,56,NA,"PG-13"
"Four Brothers","Drama",30,92.49,6.8,52,109,"R"
"Nanny McPhee and the Big Bang","Adventure",35,90.68,6.1,NA,NA,"PG"
"Madea Goes To Jail","Comedy",17.5,90.51,3.1,26,NA,"PG-13"
"Final Destination 2","Horror",26,89.63,6.4,47,90,"R"
"Airplane!","Comedy",3.5,83.45,7.8,98,NA,NA
"Dead Man Walking","Drama",11,83.09,7.6,94,NA,"R"
"The Terminator","Action",6.4,78.02,8.1,100,NA,NA
"The Unborn","Horror",16,77.21,4.5,11,NA,"PG-13"
"The Other Boleyn Girl","Drama",40,72.94,6.7,41,NA,"PG-13"
"Down to Earth","Comedy",30,71.17,5,19,87,"PG-13"
"XXX: State of the Union","Action",60,71.07,4.1,NA,NA,"PG-13"
"Groundhog Day","Comedy",14.6,70.91,8.2,96,NA,"PG"
"Tae Guik Gi: The Brotherhood of War","Drama",12.5,69.83,NA,NA,NA,"R"
"102 Dalmatians","Comedy",85,66.94,4.4,30,100,"G"
"Hero","Comedy",42,66.79,6.4,NA,NA,NA
"Ever After: A Cinderella Story","Drama",26,65.71,NA,NA,122,"PG"
"Lions for Lambs","Drama",35,63.21,6.2,27,90,"R"
"Lord of War","Action",42,62.14,7.7,61,NA,"R"
"Flags of Our Fathers","Drama",53,61.9,7.2,73,NA,"R"
"Inkheart","Adventure",60,58.05,6.1,40,105,"PG"
"Year One","Comedy",60,57.6,5,14,97,"PG-13"
"Drumline","Comedy",20,56.4,5.2,81,118,"PG-13"
"The Verdict","Drama",16,53.98,7.7,96,NA,NA
"RoboCop","Action",13,53.42,7.6,88,NA,NA
"The Mighty Ducks","Comedy",10,50.75,5.9,8,NA,"PG"
"Mighty Joe Young","Adventure",80,50.63,5.4,52,114,"PG"
"The Replacements","Comedy",50,50.05,6.2,39,118,"PG-13"
"The Deer Hunter","Drama",15,50,8.2,NA,NA,NA
"A Lot Like Love","Comedy",25,47.84,6.4,41,NA,"PG-13"
"Eternal Sunshine of the Spotless Mind","Comedy",20,47.07,8.5,93,108,"R"
"Good Boy!","Comedy",17,45.31,5,45,87,"PG"
"Amistad","Drama",40,44.21,7.1,77,152,"R"
"The Last Emperor","Drama",25,43.98,7.9,91,NA,NA
"The Transporter","Action",21,43.93,6.6,53,92,"PG-13"
"Harold & Kumar Escape from Guantanamo Bay","Comedy",12,43.23,6.7,54,NA,"R"
"A Good Year","Drama",35,42.06,6.8,24,118,"PG-13"
"The Boy in the Striped Pyjamas","Drama",12.5,39.83,7.8,NA,94,"PG-13"
"Halloween 2","Horror",15,38.51,4.5,NA,105,"R"
"Ri¢hie Ri¢h","Comedy",40,38.09,4.7,25,NA,"PG"
"The Hills Have Eyes II","Horror",15,37.47,5,NA,88,"R"
"Wu ji","Action",30,35.87,5.6,NA,97,"PG-13"
"Father's Day","Comedy",85,35.68,4.8,NA,98,"PG-13"
"Selena","Drama",20,35.45,6.3,63,127,"PG"
"Darkness","Horror",10.6,34.41,5.3,4,NA,"PG-13"
"Cirque du Freak: The Vampire's Assistant","Action",40,34.37,6.1,37,NA,"PG-13"
"The Relic","Horror",60,33.96,5.4,32,110,"R"
"The Long Kiss Goodnight","Action",65,33.45,6.6,69,120,"R"
"Confessions of a Teenage Drama Queen","Comedy",15,33.05,4.3,13,89,"PG"
"The Lawnmower Man","Action",10,32.1,5.1,47,NA,NA
"Dance Flick","Comedy",25,32.09,3.4,17,83,"PG-13"
"Johnson Family Vacation","Comedy",12,31.46,3.8,6,97,"PG-13"
"Jane Austen's Mafia","Comedy",10,30.14,5,NA,83,"PG-13"
"Double Take","Action",24,29.82,6.8,12,88,"PG-13"
"Twilight Zone: The Movie","Horror",10,29.5,6.3,67,NA,NA
"Michael Collins","Drama",25,27.57,6.9,77,NA,"R"
"Doogal","Adventure",20,26.94,2.5,NA,NA,"G"
"Event Horizon","Horror",60,26.67,6.3,21,95,"R"
"The Texas Chainsaw Massacre","Horror",0.14,26.57,6.1,90,NA,"R"
"Rollerball","Action",70,25.85,2.8,3,NA,"PG-13"
"Catch-22","Comedy",18,24.91,7.1,87,NA,NA
"The Shipping News","Drama",35,24.41,6.7,55,NA,"R"
"He Got Game","Drama",25,21.57,6.8,80,134,"R"
"The Apostle","Drama",5,21.28,7.1,91,148,"PG-13"
"Tales from the Crypt: Demon Knight","Horror",12,21.09,6.4,NA,NA,"R"
"The Dead Zone","Horror",10,20.77,7.3,NA,NA,NA
"Ultraviolet","Action",30,20.72,4,9,NA,"PG-13"
"Walk Hard: The Dewey Cox Story","Comedy",35,20.58,6.7,74,NA,"R"
"Multiplicity","Comedy",45,20.13,5.7,44,117,"PG-13"
"Young Sherlock Holmes","Adventure",18,19.74,6.5,63,NA,NA
"Summer Catch","Comedy",17,19.69,4.6,7,NA,"PG-13"
"Die F‰lscher","Drama",6.25,19.42,7.6,NA,NA,"R"
"A Christmas Story","Comedy",3.25,19.29,8,88,NA,"PG"
"The Curse of the Jade Scorpion","Comedy",26,18.5,6.7,45,NA,"PG-13"
"Ladyhawke","Action",20,18.4,6.7,63,NA,NA
"Last Man Standing","Action",67,18.12,NA,NA,100,"R"
"The Contender","Drama",9,17.8,6.9,76,NA,"R"
"Eight Legged Freaks","Comedy",30,17.27,5.4,47,NA,"PG-13"
"I Love You, Beth Cooper","Comedy",18,16.38,5.9,NA,NA,"PG-13"
"Black Christmas","Horror",9,16.24,4.3,15,90,"R"
"Just Visiting","Comedy",40,16.17,5.6,33,NA,"PG-13"
"The Good Girl","Comedy",8,15.98,6.6,81,NA,"R"
"Legend","Adventure",25,15.5,6.1,NA,NA,NA
"Bait","Action",35,15.47,5.6,26,NA,"R"
"The Goods: Live Hard, Sell Hard","Comedy",10,15.12,NA,26,89,"R"
"Iris","Drama",5.5,15.04,5.8,79,NA,"R"
"Haakon Haakonsen","Adventure",8.5,15.02,6.4,NA,NA,NA
"Flirting with Disaster","Comedy",7,14.85,6.7,86,NA,"R"
"Hellraiser","Horror",1,14.56,7,63,NA,NA
"The Deep End of the Ocean","Drama",40,13.51,6,42,NA,"PG-13"
"One Night with the King","Drama",20,13.4,6,16,124,"PG"
"Extraordinary Measures","Drama",31,12.7,6.4,27,NA,"PG"
"Sorority Boys","Comedy",12,12.52,5.1,13,NA,"R"
"The Lords of Dogtown","Action",25,11.35,NA,NA,NA,"PG-13"
"Silver Bullet","Horror",7,10.8,5.9,50,NA,NA
"Not Easily Broken","Drama",5,10.57,5.2,35,NA,"PG-13"
"Son of Rambow: A Home Movie","Comedy",2,10.57,NA,NA,NA,"PG-13"
"Moby Dick","Adventure",4.5,10.4,7.4,67,NA,NA
"Knock Off","Action",35,10.32,4.1,8,NA,"R"
"The Wash","Comedy",4,10.1,3.6,8,NA,"R"
"Tsotsi","Drama",3,9.88,7.4,NA,NA,"R"
"Lolita (1962)","Drama",2,9.25,NA,NA,NA,NA
"Trippin'","Comedy",3,9.02,4.6,8,NA,"R"
"Shadow of the Vampire","Drama",8,8.28,6.8,81,NA,"R"
"A Simple Wish","Comedy",28,8.17,4.9,27,NA,"PG"
"Troop Beverly Hills","Comedy",18,7.19,4.7,8,NA,NA
"The Adventures of Pluto Nash","Comedy",100,7.09,3.7,6,NA,"PG-13"
"Crossover","Drama",5.6,7.01,1.7,3,NA,"PG-13"
"The Big Bounce","Comedy",50,6.63,4.8,NA,NA,"PG-13"
"Gods and Monsters","Drama",3.5,6.45,7.5,96,NA,"R"
"Against the Ropes","Drama",39,6.43,5.2,12,NA,"PG-13"
"Mary Reilly","Drama",47,6.37,5.5,27,NA,"R"
"What Planet Are You From?","Comedy",50,6.29,5.4,42,NA,"R"
"Nowhere in Africa","Drama",6.5,6.17,NA,NA,NA,"R"
"Ed Wood","Comedy",18,5.83,8.1,91,NA,"R"
"A Guy Named Joe","Drama",2.63,5.36,6.9,NA,NA,NA
"Frozen River","Drama",1,5.28,7.2,87,NA,"R"
"The Swindle","Comedy",10,5.05,5.2,NA,NA,NA
"Paris, je t'aime","Drama",13,4.86,6.6,NA,NA,"R"
"Duets","Drama",16,4.73,5.7,21,NA,"R"
"McHale's Navy","Comedy",42,4.41,3.9,3,NA,"PG"
"Men with Brooms","Comedy",7.5,4.24,5.8,63,NA,"R"
"Jekyll and Hyde... Together Again","Comedy",5,3.71,5.5,NA,NA,NA
"Shattered Glass","Drama",6,2.93,7.4,91,NA,"PG-13"
"In the Company of Men","Drama",0.03,2.88,7.2,89,NA,"R"
"The Wackness","Comedy",6,2.64,7.1,69,NA,"R"
"BloodRayne","Action",25,2.41,2.7,4,NA,"R"
"The Yards","Drama",20,2.28,6.3,64,NA,"R"
"Sur Le Seuil","Drama",2.5,2.01,6.7,NA,NA,"Not Rated"
"Time Changer","Drama",0.82,1.5,5,22,NA,"PG"
"It's All Gone Pete Tong","Drama",2,1.47,7.3,NA,NA,"R"
"The Offspring","Horror",1.1,1.36,5.6,NA,NA,NA
"Me and Orson Welles","Drama",25,1.19,7.1,84,107,"PG-13"
"Chuck&Buck","Drama",0.25,1.16,6.5,NA,NA,"R"
"The Brothers Solomon","Comedy",10,0.9,5.2,15,NA,"R"
"Orgazmo","Comedy",1,0.63,6,NA,NA,"NC-17"
"Poolhall Junkies","Drama",4,0.56,6.8,NA,NA,"R"
"Prison","Horror",4,0.35,5.8,NA,NA,NA
"Neal n' Nikki","Drama",1.3,0.33,3.5,NA,NA,"Not Rated"
"Q","Horror",1.2,0.26,6.1,NA,NA,NA
"Civil Brand","Drama",0.5,0.25,4.9,NA,NA,"R"
"Ira and Abby","Comedy",3.5,0.22,6.3,NA,NA,"R"
"Akira","Action",8,0.02,7.9,NA,NA,"R"
"Anatomie","Horror",2.5,0.01,6.1,NA,NA,"Not Rated"
"The Helix...  Loaded","Comedy",1,0,1.5,NA,NA,"R"
