"id","gender","hourly_wage"
220,"Female",136.1
221,"Female",117.77
222,"Male",166.28
223,"Female",152.95
224,"Male",222.8
225,"Male",159.61
226,"Female",141.87
227,"Male",275.85
228,"Female",139.68
229,"Male",93.27
230,"Female",154.67
231,"Female",201.01
232,"Male",136.94
233,"Male",239.44
234,"Male",157
235,"Female",136.01
236,"Male",195.31
237,"Male",129.82
238,"Male",196.3
239,"Male",220.49
240,"Female",195.17
241,"Female",156.88
242,"Male",190.34
243,"Female",101.37
244,"Male",202.95
245,"Female",195.15
246,"Male",189.25
247,"Male",162.54
248,"Female",87.15
249,"Male",147.64
250,"Male",189.54
251,"Male",191.17
252,"Female",135.03
253,"Male",192.8
254,"Male",130.94
255,"Female",105.18
256,"Male",253.2
257,"Male",180.08
258,"Male",200.08
259,"Female",140.85
260,"Male",146.79
261,"Male",211.5
262,"Female",130.1
263,"Female",176.44
264,"Male",157.69
265,"Female",174.43
266,"Male",162.35
267,"Male",201.3
268,"Male",118.36
269,"Male",249.44
270,"Female",181.22
271,"Male",142.22
272,"Female",208.69
273,"Female",110.56
274,"Male",142.54
275,"Female",112.88
276,"Male",165.74
277,"Male",160.29
278,"Female",197.48
279,"Female",125.3
280,"Female",105.18
281,"Female",95.84
282,"Male",249.3
283,"Male",212.61
284,"Male",171.67
285,"Female",147.79
286,"Male",107.52
287,"Female",153.14
288,"Female",166.76
289,"Female",159.08
290,"Female",121.85
291,"Female",113.88
292,"Male",153.3
293,"Male",190.43
294,"Female",139.32
295,"Female",158.36
296,"Female",130.72
297,"Male",155.12
298,"Female",150.75
299,"Male",197.12
300,"Male",146.71
301,"Male",143.39
302,"Male",93.54
303,"Male",189.96
304,"Female",202.47
305,"Male",306.79
306,"Male",143.24
307,"Male",248.84
308,"Female",138.73
309,"Male",169.35
310,"Male",135.01
311,"Male",147.59
312,"Male",226.55
313,"Female",186.56
314,"Female",127.22
315,"Female",131.89
316,"Male",157.93
317,"Male",211.38
318,"Female",160.82
319,"Female",122.86
320,"Female",155.86
321,"Male",198.51
322,"Female",177.9
323,"Female",129.4
324,"Female",98.45
325,"Male",144.45
326,"Male",211.02
327,"Male",141.07
328,"Female",172.72
329,"Male",316.85
330,"Male",202.51
331,"Female",208.22
332,"Female",197.2
333,"Male",108.41
334,"Male",184.87
335,"Female",125.99
336,"Female",102.06
337,"Female",100.17
338,"Female",188.98
339,"Male",201.28
340,"Male",201.76
341,"Female",189.38
342,"Male",205.34
343,"Male",131.38
344,"Male",206.87
345,"Male",230.95
346,"Male",165.62
347,"Female",126.07
348,"Male",209.31
349,"Male",182.65
350,"Female",192.27
351,"Female",128.07
352,"Female",135.17
353,"Female",146.79
354,"Male",164.48
355,"Female",171.43
356,"Male",141.21
357,"Female",142.63
358,"Female",169.28
359,"Male",211.38
360,"Male",141.75
361,"Female",171.75
362,"Male",114.84
363,"Female",168.58
364,"Female",177.2
365,"Male",263.27
366,"Male",254.16
367,"Female",103.94
368,"Female",131.8
369,"Female",111.27
370,"Male",256.75
371,"Male",186.26
372,"Male",161.85
373,"Female",150.73
374,"Male",162.92
375,"Female",136.92
376,"Female",167.52
377,"Male",204.54
378,"Male",225.22
379,"Male",203.54
380,"Male",294.61
381,"Male",316.44
382,"Male",181.34
383,"Female",202.79
384,"Female",93.16
385,"Female",160.1
386,"Female",141.63
387,"Male",197.41
388,"Male",142.55
389,"Male",141.37
390,"Male",167.92
391,"Female",155.19
392,"Female",147.58
393,"Male",218.83
394,"Male",179.58
395,"Male",162.65
396,"Male",270.45
397,"Male",152.89
398,"Female",157.14
399,"Male",165.35
400,"Female",196.51
401,"Male",131.39
402,"Male",189.27
403,"Female",161.51
404,"Male",176.43
405,"Male",202.1
406,"Female",124.28
407,"Male",182.96
408,"Female",114.77
409,"Female",168.76
410,"Female",214.44
411,"Female",215.55
412,"Male",202.68
413,"Male",127.35
414,"Female",213.53
415,"Male",179.43
416,"Female",160.88
417,"Male",230.28
418,"Male",128.8
419,"Male",145.88
420,"Female",132.81
421,"Female",91.74
422,"Female",148.74
423,"Female",92.37
424,"Male",207.51
425,"Female",124.45
426,"Female",116.02
427,"Male",147.96
428,"Male",170.36
429,"Male",160.42
430,"Female",108.55
431,"Male",130.13
432,"Female",119.04
433,"Female",211.14
434,"Male",162.05
435,"Male",163.77
436,"Female",99.32
437,"Female",143.67
438,"Male",183.32
439,"Male",143.36
440,"Male",183.63
441,"Male",150.13
442,"Female",151.77
443,"Female",172.17
444,"Male",206.85
445,"Male",147.32
446,"Male",269.51
447,"Female",225.72
448,"Female",146.3
449,"Male",146.58
450,"Female",143.07
451,"Female",104.5
452,"Female",129.6
453,"Male",208.38
454,"Male",111.44
455,"Male",129.54
456,"Female",130.38
457,"Female",158.22
458,"Female",153.07
459,"Female",156.68
460,"Male",143.38
461,"Female",145.23
462,"Male",145.76
463,"Male",174.86
464,"Male",183.21
465,"Male",186.87
466,"Female",239.34
467,"Male",203.25
468,"Female",242.3
469,"Female",121.57
470,"Male",177.68
471,"Male",279.22
472,"Female",150.5
473,"Male",289.39
474,"Male",147.52
475,"Male",220.65
476,"Female",152.83
477,"Female",163.27
478,"Male",148.02
479,"Female",114.95
480,"Female",110.61
481,"Female",164.25
482,"Male",137.21
483,"Male",207.38
484,"Male",243.3
485,"Male",130.92
486,"Female",136.9
487,"Male",93.98
488,"Female",116.52
489,"Female",150.72
490,"Female",151.07
491,"Female",117.81
492,"Female",184.79
493,"Male",189.64
494,"Female",162.63
495,"Female",135.17
496,"Male",189.42
497,"Female",119.46
498,"Female",141.82
499,"Female",196.94
500,"Male",172.84
501,"Female",156.18
502,"Male",159.02
503,"Female",228.04
504,"Male",126
505,"Male",132.6
506,"Female",94.5
507,"Male",220.6
508,"Male",190.88
509,"Female",141.55
510,"Male",297.34
511,"Male",179.44
512,"Female",199.57
513,"Female",167.26
514,"Female",140.27
515,"Female",153.86
516,"Male",155.93
517,"Female",238.85
518,"Male",189.82
519,"Male",137.28
520,"Female",163.33
521,"Male",113.81
522,"Female",123.83
523,"Female",152.46
524,"Female",111.15
525,"Female",124.51
526,"Female",128.59
527,"Male",262.35
528,"Male",181.12
529,"Male",165.18
530,"Female",164.76
531,"Male",232.16
532,"Male",110.5
533,"Female",172.83
534,"Male",178.08
535,"Male",232.58
536,"Male",199.06
537,"Female",167.16
538,"Male",116.02
539,"Male",190.17
540,"Male",242.7
541,"Female",120.03
542,"Female",138.66
543,"Female",123.91
544,"Female",145.61
545,"Female",166.76
546,"Male",168.06
547,"Male",152.37
548,"Female",186.88
549,"Female",241
550,"Male",189.62
551,"Male",148.19
552,"Male",180.72
553,"Male",159.17
554,"Male",217.18
555,"Male",182.55
556,"Male",177.1
557,"Female",149.15
558,"Male",192.87
559,"Female",117.92
560,"Female",173.77
561,"Female",260.02
562,"Male",203.13
563,"Female",208.93
564,"Female",211.57
565,"Male",201.46
566,"Male",179.54
567,"Male",137.83
568,"Male",131.33
569,"Male",138.87
570,"Female",168.69
571,"Female",100.51
572,"Male",145.71
573,"Male",267.42
574,"Female",141.75
575,"Female",170.51
576,"Male",275.64
577,"Male",142.49
578,"Female",132.96
579,"Male",137.71
580,"Female",98.69
581,"Female",125.66
582,"Male",154.51
583,"Female",206.98
584,"Female",88.33
585,"Male",227.61
586,"Female",158.31
587,"Male",200.53
588,"Female",154.73
589,"Male",172.27
590,"Male",235.68
591,"Male",209.46
592,"Female",205.31
593,"Female",157.8
594,"Female",142.17
595,"Female",166.13
596,"Female",144.19
597,"Male",170.23
598,"Female",109.21
599,"Female",137.04
600,"Male",256.97
601,"Female",164.07
602,"Male",180.48
603,"Female",191.54
604,"Male",165.04
605,"Female",151.53
606,"Male",234.41
607,"Male",280.23
608,"Female",124.09
609,"Female",109.16
610,"Female",157.74
611,"Female",126.63
612,"Male",105.96
613,"Male",202.5
614,"Male",310.92
615,"Male",136.06
616,"Male",153.1
617,"Male",147.8
618,"Female",164.7
619,"Female",112.87
620,"Female",158.84
621,"Male",157.98
622,"Male",168.78
623,"Male",169.52
624,"Female",117.83
625,"Female",97.96
626,"Female",134.56
627,"Female",261.87
628,"Female",147.96
629,"Male",174.27
630,"Male",166.14
631,"Male",161.09
632,"Male",194.11
633,"Female",159.87
634,"Male",166.28
635,"Male",207.69
636,"Male",154.3
637,"Female",136.28
638,"Male",160.5
639,"Male",127.31
640,"Male",158.56
641,"Male",185.13
642,"Male",141.12
643,"Female",153.53
644,"Female",89.13
645,"Female",97.93
646,"Female",186.36
647,"Female",145.03
648,"Female",262.88
649,"Male",186.06
650,"Female",97.5
651,"Female",147.05
652,"Female",142.4
653,"Female",204.62
654,"Male",264.85
655,"Female",107.17
656,"Male",212.22
657,"Male",177.14
658,"Female",157.42
659,"Male",153.98
660,"Male",180.68
661,"Female",140.65
662,"Female",151.19
663,"Male",136.38
664,"Female",156.06
665,"Female",154.78
666,"Male",142.03
667,"Male",144.84
668,"Female",165.62
669,"Female",138.47
670,"Female",181.14
671,"Male",194.34
672,"Female",142.75
673,"Female",182.22
674,"Female",132.97
675,"Female",202.29
676,"Female",156.95
677,"Male",197.52
678,"Female",136.96
679,"Male",181.97
680,"Female",188.77
681,"Female",135.1
682,"Male",227.45
683,"Male",191.25
684,"Male",233.78
685,"Male",216.23
686,"Female",157.91
687,"Male",174.04
688,"Female",134.33
689,"Female",138.76
690,"Male",150.79
691,"Male",264.38
692,"Male",208.44
693,"Female",158.63
694,"Male",154.8
695,"Female",130.31
696,"Female",117.71
697,"Male",178.56
698,"Female",137.33
699,"Male",197.14
700,"Male",241.78
701,"Female",171.09
702,"Female",128.87
703,"Male",106.7
704,"Female",174.61
705,"Female",112.31
706,"Female",170.8
707,"Male",172.68
708,"Female",229.01
709,"Male",250.16
710,"Male",122.49
711,"Female",160.79
712,"Male",223.15
713,"Male",124.53
714,"Female",108.03
715,"Female",140
716,"Female",125.01
717,"Female",150.34
718,"Female",181.94
719,"Male",137.71
720,"Female",91.3
721,"Male",175.45
722,"Male",251.47
723,"Male",194.68
724,"Male",152.58
725,"Female",132.77
726,"Male",245.81
727,"Male",203.08
728,"Female",184.82
729,"Female",110.77
730,"Male",217.78
731,"Female",112.13
732,"Female",127.15
733,"Female",118.8
734,"Male",195.5
735,"Male",112.11
736,"Male",184.7
737,"Female",149.89
738,"Male",202.29
739,"Male",201.88
740,"Female",152.23
741,"Female",124.92
742,"Female",111.97
743,"Female",163.66
744,"Male",169.37
745,"Female",157.99
746,"Male",140.82
747,"Male",163.92
748,"Male",199.89
749,"Male",244.98
750,"Female",138.74
751,"Female",113.28
752,"Male",177.59
753,"Male",177.71
754,"Male",118.93
755,"Female",149.97
756,"Male",279.41
757,"Female",99.8
758,"Female",190.23
759,"Male",206.95
760,"Male",162.94
761,"Male",163.28
762,"Male",181.93
763,"Female",175.9
764,"Male",180.76
765,"Female",156.29
766,"Female",141.13
767,"Female",111.39
768,"Male",155.36
769,"Female",165.81
770,"Female",271.14
771,"Male",186.19
772,"Female",85.89
773,"Female",95.77
774,"Male",151.74
775,"Female",117.64
776,"Male",202.86
777,"Male",180.62
778,"Male",198.12
779,"Female",124.86
780,"Male",259.75
781,"Male",135.96
782,"Male",144.26
783,"Male",99.9
784,"Female",122
785,"Female",95.19
786,"Male",127.07
787,"Male",235.6
788,"Female",148.33
789,"Male",193.96
790,"Male",135.59
791,"Female",147.38
792,"Female",160.27
793,"Male",215.24
794,"Male",165.36
795,"Female",71.08
796,"Female",221.57
797,"Female",200
798,"Female",121.94
799,"Female",132.61
800,"Female",103.12
801,"Female",153.48
802,"Female",139.45
803,"Female",130.3
804,"Female",167.78
805,"Male",217.67
806,"Female",250.64
807,"Female",150.78
808,"Male",140.91
809,"Female",137.81
810,"Female",182.23
811,"Female",147.83
812,"Female",208.32
813,"Female",125
814,"Male",134.49
815,"Male",232.62
816,"Female",174.45
817,"Male",203.59
818,"Male",107.98
819,"Female",182.48
820,"Male",155.4
821,"Female",161.63
822,"Male",186.95
823,"Female",144.07
824,"Male",191.53
825,"Male",136.55
826,"Male",211.65
827,"Male",231.37
828,"Male",191.36
829,"Male",181.52
830,"Female",105.15
831,"Male",243.3
832,"Male",189.13
833,"Male",149.96
834,"Male",231.86
835,"Female",177.93
836,"Female",144.18
837,"Female",140.02
838,"Male",230.18
839,"Male",273.44
840,"Female",126.51
841,"Male",175.29
842,"Female",123.1
843,"Male",334.4
844,"Female",100.3
845,"Female",195.73
846,"Male",158.29
847,"Female",175.35
848,"Male",189.43
849,"Female",180.07
850,"Female",247.09
851,"Female",193.15
852,"Male",222.02
853,"Female",156.52
854,"Female",158.06
855,"Male",148.98
856,"Female",105.15
857,"Male",150.1
858,"Female",108.18
859,"Female",146.92
860,"Female",169.32
861,"Male",199.41
862,"Female",175.39
863,"Male",196.78
864,"Female",341.99
865,"Male",133.94
866,"Female",162.7
867,"Male",247.6
868,"Female",132.03
869,"Male",133.86
870,"Female",98.59
871,"Female",129.4
872,"Male",232.98
873,"Female",222.28
874,"Male",198.45
875,"Female",104.74
876,"Male",246.83
877,"Female",172.08
878,"Male",215.17
879,"Male",294.4
880,"Female",133.26
881,"Male",193.73
882,"Male",212.26
883,"Female",150.77
884,"Male",143.2
885,"Male",221.87
886,"Male",211.87
887,"Female",136.13
888,"Female",162.73
889,"Female",150.54
890,"Female",123.42
891,"Male",190.67
892,"Female",216.62
893,"Female",147.74
894,"Female",198.91
895,"Female",164.16
896,"Female",155.75
897,"Male",214.29
898,"Male",174.34
899,"Male",118.81
900,"Female",133.01
901,"Male",193.76
902,"Male",204.14
903,"Male",167.69
904,"Male",139.6
905,"Female",126.26
906,"Male",132.81
907,"Male",195.99
908,"Female",122.88
909,"Female",147.57
910,"Male",161.05
911,"Male",134.22
912,"Female",114.67
913,"Male",378.65
914,"Male",171.45
915,"Female",128.7
916,"Male",153.4
917,"Male",157.9
918,"Female",144.35
919,"Female",122.44
920,"Male",124.67
921,"Female",142.26
922,"Female",149.09
923,"Male",202.69
924,"Male",117.16
925,"Male",174.14
926,"Female",205.41
927,"Female",119.62
928,"Male",119.82
929,"Female",126.63
930,"Female",152.27
931,"Male",144.25
932,"Male",190.98
933,"Female",99.55
934,"Male",176.63
935,"Male",129.75
936,"Male",209.18
937,"Male",140.2
938,"Male",349.23
939,"Male",245.87
940,"Male",219.41
941,"Female",217.11
942,"Male",135.84
943,"Female",166.94
944,"Female",149.49
945,"Male",227.37
946,"Male",221.09
947,"Female",220.2
948,"Male",139.88
949,"Female",112.24
950,"Male",148.72
951,"Male",136.4
952,"Male",252.71
953,"Male",119.02
954,"Male",232.23
955,"Female",149.18
956,"Female",170.5
957,"Female",172.29
958,"Female",186.6
959,"Male",98.24
960,"Male",219.95
961,"Female",160.13
962,"Male",201.24
963,"Female",141.66
964,"Male",197.66
965,"Male",183.78
966,"Male",164.31
967,"Female",144.06
968,"Male",106.42
969,"Male",104.11
970,"Male",154.62
971,"Male",269.82
972,"Female",192.26
973,"Female",114.08
974,"Male",252.74
975,"Male",244.06
976,"Male",188.77
977,"Male",166.86
978,"Female",137.96
979,"Female",261.42
980,"Male",250.53
981,"Male",188.59
982,"Male",116.78
983,"Female",105.45
984,"Male",178.02
985,"Male",175.67
986,"Female",105.66
987,"Female",112.53
988,"Female",130.36
989,"Male",254.49
990,"Female",127.94
991,"Male",94.06
992,"Female",191.05
993,"Male",216.47
994,"Female",163.05
995,"Male",107.82
996,"Female",182.92
997,"Male",165.98
998,"Female",171.93
999,"Male",209.39
1000,"Male",165.66
1001,"Male",164.95
1002,"Female",133.84
1003,"Female",115.24
1004,"Male",123.95
1005,"Male",195.08
1006,"Female",106.2
1007,"Male",110.34
1008,"Female",157.63
1009,"Female",111.7
1010,"Male",144.28
1011,"Female",175.29
1012,"Female",122.54
1013,"Female",107.74
1014,"Male",172.65
1015,"Female",129.4
1016,"Female",111.42
1017,"Female",218.94
1018,"Female",72.46
1019,"Male",145.9
1020,"Female",104.15
1021,"Male",167.73
1022,"Female",152.26
1023,"Male",167.66
1024,"Female",224.67
1025,"Male",211.3
1026,"Male",113.8
1027,"Male",218.33
1028,"Male",123.08
1029,"Male",141.91
1030,"Female",125.19
1031,"Female",87.45
1032,"Female",141.54
1033,"Male",144.81
1034,"Female",150.48
1035,"Male",328.1
1036,"Male",175.3
1037,"Male",166.14
1038,"Female",261.58
1039,"Male",175.73
1040,"Male",190.01
1041,"Male",167.32
1042,"Female",165.15
1043,"Male",148.99
1044,"Male",204.7
1045,"Female",146.5
1046,"Female",131.18
1047,"Male",155.94
1048,"Female",134.07
1049,"Male",143.53
1050,"Male",140.92
1051,"Female",156.55
1052,"Male",202.13
1053,"Male",184.15
1054,"Female",127.77
1055,"Female",231.3
1056,"Male",128.61
1057,"Male",193.29
1058,"Female",196.25
1059,"Male",160.47
1060,"Female",118.64
1061,"Female",70.66
1062,"Male",180.52
1063,"Male",170.37
1064,"Female",101.63
1065,"Female",194.48
1066,"Male",176.56
1067,"Female",228.66
1068,"Male",165.63
1069,"Female",148.51
1070,"Male",202.72
1071,"Female",144.22
1072,"Female",129.98
1073,"Male",236.75
1074,"Male",174.43
1075,"Male",239.76
1076,"Female",112.82
1077,"Male",173.88
1078,"Male",132.23
1079,"Male",186.32
1080,"Male",148.78
1081,"Female",127.05
1082,"Female",183.52
1083,"Female",101.94
1084,"Male",261.57
1085,"Female",177.14
1086,"Male",200.06
1087,"Female",135.75
1088,"Male",169.98
1089,"Female",202.11
1090,"Female",106.52
1091,"Female",77.68
1092,"Male",157.73
1093,"Male",279.35
1094,"Male",222.34
1095,"Female",201.93
1096,"Male",192.98
1097,"Female",128.43
1098,"Female",159.03
1099,"Female",125.04
1100,"Male",195.06
1101,"Female",243.61
1102,"Female",121.89
1103,"Male",188.32
1104,"Female",117.75
1105,"Male",229.45
1106,"Male",224.15
1107,"Female",159.07
1108,"Male",232.26
1109,"Male",251
1110,"Male",204.65
1111,"Male",247
1112,"Female",138.86
1113,"Male",143.91
1114,"Male",198.42
1115,"Female",192.53
1116,"Female",157.44
1117,"Female",134.07
1118,"Male",208.08
1119,"Male",130.58
1120,"Female",180.95
1121,"Male",203.1
1122,"Female",109.55
1123,"Female",132.42
1124,"Male",184.24
1125,"Female",147.38
1126,"Female",141.19
1127,"Male",241.16
1128,"Male",149.36
1129,"Female",172.3
1130,"Male",190.88
1131,"Male",229.59
1132,"Male",159.51
1133,"Female",119.33
1134,"Male",211.63
1135,"Male",291.35
1136,"Male",121.54
1137,"Female",235.46
1138,"Female",126.59
1139,"Female",121.12
1140,"Female",204.8
1141,"Male",294.64
1142,"Female",141.65
1143,"Male",165.14
1144,"Male",151.8
1145,"Female",162.76
1146,"Male",229.04
1147,"Female",151.11
1148,"Male",165.1
1149,"Male",177.03
1150,"Female",108.32
1151,"Female",163.3
1152,"Female",94.66
1153,"Female",198.72
1154,"Female",163.89
1155,"Female",148.71
1156,"Female",122.92
1157,"Female",218.91
1158,"Male",134.18
1159,"Female",158.14
1160,"Male",187.98
1161,"Female",150.1
1162,"Male",170.18
1163,"Female",137.87
1164,"Female",176.22
1165,"Female",159.74
1166,"Male",227.38
1167,"Female",158.43
1168,"Female",108.87
1169,"Female",220.34
1170,"Male",227.03
1171,"Male",174.15
1172,"Female",136.85
1173,"Male",138.98
1174,"Male",160
1175,"Male",233.19
1176,"Female",182.49
1177,"Female",158.27
1178,"Female",121.14
1179,"Female",124.77
1180,"Female",147.97
1181,"Male",144.83
1182,"Male",196.83
1183,"Male",227.61
1184,"Male",171.02
1185,"Male",133.41
1186,"Male",233.26
1187,"Female",144.12
1188,"Male",207.3
1189,"Male",104.36
1190,"Female",124.91
1191,"Female",149.3
1192,"Female",133.87
1193,"Male",158.15
1194,"Female",270.26
1195,"Female",139.91
1196,"Male",115.52
1197,"Female",196.2
1198,"Female",119.06
1199,"Female",133.51
1200,"Female",150.31
